INDICADORES DE TERRITORIALIDADE ESTRATÉGICA;;;;;;;;
DIMENSÃO ;OBJETO DE ESTUDO ;ITENS DE ESTUDO ;INDICADORES ;POSSÍVEIS FONTES;PESO;OBSERVAÇÃO;;
;5.2 Participação Social ;"5.2.1 Perfil Comunitário 
5.2.2 Representatividade e participação em espaços de controle social (Audiências Conselhos / Comissões / Comitês existentes etc.
5.2.3 Sobrecarga Comunitária";"5.2.1.1 Quantidade de instituições comunitárias existentes e atuantes 
5.2.2.1 Quantidade de instituições/ representantes da sociedade civil participando de espaços de controle social 
5.2.3.1 Quantidade de empreendimentos em instalação ou operação no teritório
5.2.3.2 Quantidade de Programas de Educação Ambiental e de Programas de Comunicação Social em atuação no território (Obs.: a quantidade em si não determina o nível de saturação da comunidade. Penso que é preciso cruzar com número de habitantes e observação direta). ";"Audiências Conselhos / Comissões / Comitês existentes 
Órgãos ambientais municipais, estaduais e federais.";3;;;
;5.3 Articulação com o Poder Público;"5.3.1 Parcerias estabelecidas com o poder público local
5.3.2 iInfluências negativas do poder público no território ";;;3;;;
6. REPUTAÇÃO E VISIBILIDADE ;6.1 Mídia;"6.1.1  Característica marcante do território
6.1.2 Interesse de busca
6.1.3 Escala de repercussão";"6.1.1.1  Cidade turística, polo industrial, área ambientalmente sensível, patrimônios materiais ou imateriais
6.1.2.1 Volume de buscas associados ao território
6.1.3.1 Quantitativo de matérias sobre o território (meio ambiente, turismo, cultura, economia, eventos, curiosidades) que tiveram alcance regional e/ou nacional. 
Engajamento";"Repetição de termos nas matérias, títulos recorrentes
Google Trends
Google News, G1, Folha de São Paulo, O Globo";;;;
;6.2 Pressão Social ;;;;;;;
;6.3 Pressão Política ;;;;;;;
;6.4 Interesse Estratégico ;;;;;;;
;6.3 Interesse Científico ;;"Grupos de estudos afins 
Conselhos / Comissões / Comitês existentes 
Pesquisas relevantes ";;;;;
7. POTENCIALDIDADES ;7.1 Capital social;;;;;;;
;7.2 Patrimônios materiais e imateriais;;;;;;;
;7.3 Resiliência ;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Observações: Juliane - vermelho / Jaciara - azul;;;;;;;;
